"stat_code","stat_name","item_code1","item_name1","item_code2","item_name2","item_code3","item_name3","item_code4","item_name4","time","data_value","unit_name"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1968Q4",14519.7,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1969Q1",15261.8,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1969Q2",15788.7,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1969Q3",17061.5,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1969Q4",17404.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1970Q1",17109.7,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1970Q2",17797.7,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1970Q3",17907.8,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1970Q4",19287.5,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1971Q1",19395.7,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1971Q2",20027.5,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1971Q3",20066.2,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1971Q4",20216.9,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1972Q1",20507.5,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1972Q2",21113.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1972Q3",21461.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1972Q4",22374,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1973Q1",23114,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1973Q2",24085.3,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1973Q3",25311.3,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1973Q4",25677.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1974Q1",26749.7,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1974Q2",26679.2,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1974Q3",27095.6,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1974Q4",27003.2,"십억원"
"200Y008","2.1.2.2.2. 국내총생산에 대한 지출(계절조정, 실질, 분기)","10601","국내총생산에 대한 지출","null","null","null","null","null","null","1975Q1",27385.2,"십억원"
